"Grouper","NumIssued","NumSale","NumNetIssued","NumSat","GSA","NumNet","NSA","NumJobs","NumJSC1","NumJSC2","NumJSC3","NumJSC4","NumJSC5","NumJSC6","GSAJSC1","GSAJSC2","GSAJSC3","GSAJSC4","GSAJSC5","GSAJSC6","NumWorking","NumCD","NumCancelled","NumHold","GSAWorking","GSACD","GSACancelled","GSAHold","NSLI","ClosingPct","OTDPct","STDPct","jbs1","jbs2","jbs3","jbs4","jbs5","jbs6","jbs7","jbs8","jbs9","FullName","SDate","EDate","CurrentDateTime","UseColor","xBrn_id","xSetter","xProductid","xGrouper","xSortBy","xGrade"
"Deer - LF, Craig","138","22","121","107","516267","12","222251","22","0","0","4","12","6","0","0.0000","0.0000","141344","222251","152672","0.0000","0","6","4","0","0.0000","152672","141344","0.0000","1836.7851","0.0991","0.1594","0.2056","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","2/1/2026","2/28/2026","8/7/2026 3:15:38 PM","True","ALL","","--ALL--","By Setter","By STD","ALL"
"Martin - LF, Kyle","70","6","57","52","157470","5","125574","6","0","0","1","5","0","0","0.0000","0.0000","31896","125574","0.0000","0.0000","0","0","1","0","0.0000","0.0000","31896","0.0000","2203.0526","0.0877","0.0857","0.1153","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","2/1/2026","2/28/2026","8/7/2026 3:15:38 PM","True","ALL","","--ALL--","By Setter","By STD","ALL"
"Martin, Kyle","487","110","427","375","2562913","92","2145538","108","4","0","10","88","6","0","134545","0.0000","187861","2010993","229514","0.0000","0","6","10","0","0.0000","229514","187861","0.0000","5024.6791","0.2154","0.2258","0.2933","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","2/1/2026","2/28/2026","8/7/2026 3:15:38 PM","True","ALL","","--ALL--","By Setter","By STD","ALL"
"Gordon - LF, Alicia","113","25","104","87","539303","15","306554","25","1","0","4","14","6","0","18000","0.0000","70938","288554","161811","0.0000","0","6","4","0","0.0000","161811","70938","0.0000","2947.6346","0.1442","0.2212","0.2873","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","2/1/2026","2/28/2026","8/7/2026 3:15:38 PM","True","ALL","","--ALL--","By Setter","By STD","ALL"
"Gordon, Alicia","83","21","69","63","420886","8","145381","20","0","0","13","7","0","0","0.0000","0.0000","293955","126931","0.0000","0.0000","0","0","13","0","0.0000","0.0000","293955","0.0000","2106.971","0.1159","0.253","0.3333","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","2/1/2026","2/28/2026","8/7/2026 3:15:38 PM","True","ALL","","--ALL--","By Setter","By STD","ALL"
"Green - LF, Devon","22","1","19","14","9921","0","0.0000","1","0","1","0","0","0","0","0.0000","9921","0.0000","0.0000","0.0000","0.0000","0","0","0","1","0.0000","0.0000","0.0000","9921","0.0000","0.0000","0.0454","0.0714","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","2/1/2026","2/28/2026","8/7/2026 3:15:38 PM","True","ALL","","--ALL--","By Setter","By STD","ALL"
"Green, Devon","424","109","358","317","2067765","68","1387815","108","1","1","28","65","13","0","29692","18194","488889","1329332","201658","0.0000","0","13","28","0","0.0000","201658","488889","0.0000","3876.5782","0.1899","0.257","0.3438","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","2/1/2026","2/28/2026","8/7/2026 3:15:38 PM","True","ALL","","--ALL--","By Setter","By STD","ALL"
"Whitfield, Dana","202","68","178","158","1843342","54","1448029","67","1","0","12","52","2","0","15200","0.0000","297651","1426329","104162","0.0000","0","2","12","0","0.0000","104162","297651","0.0000","8134.9943","0.3033","0.3366","0.4303","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","2/1/2026","2/28/2026","8/7/2026 3:15:38 PM","True","ALL","","--ALL--","By Setter","By STD","ALL"
"Bock, Myron","526","123","458","420","2744858","96","2208113","120","2","0","18","93","7","0","32666","0.0000","367554","2155798","188840","0.0000","0","7","18","0","0.0000","188840","367554","0.0000","4821.2074","0.2096","0.2338","0.2928","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","2/1/2026","2/28/2026","8/7/2026 3:15:38 PM","True","ALL","","--ALL--","By Setter","By STD","ALL"
