"Grouper","NumIssued","NumSale","NumNetIssued","NumSat","GSA","NumNet","NSA","NumJobs","NumJSC1","NumJSC2","NumJSC3","NumJSC4","NumJSC5","NumJSC6","GSAJSC1","GSAJSC2","GSAJSC3","GSAJSC4","GSAJSC5","GSAJSC6","NumWorking","NumCD","NumCancelled","NumHold","GSAWorking","GSACD","GSACancelled","GSAHold","NSLI","ClosingPct","OTDPct","STDPct","jbs1","jbs2","jbs3","jbs4","jbs5","jbs6","jbs7","jbs8","jbs9","FullName","SDate","EDate","CurrentDateTime","UseColor","xBrn_id","xSetter","xProductid","xGrouper","xSortBy","xGrade"
"BOCA","112","22","100","89","738536","12","457581","21","0","0","5","12","4","0","0.0000","0.0000","171413","457581","109542","0.0000","0","4","5","0","0.0000","109542","171413","0.0000","4575.81","0.12","0.1964","0.2471","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","1/1/2026","1/31/2026","8/7/2026 3:15:35 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"FTLAU","78","14","69","57","341807","7","106157","14","0","0","7","7","0","0","0.0000","0.0000","274601","106834","0.0000","0.0000","0","0","7","0","0.0000","0.0000","274601","0.0000","1538.5072","0.1014","0.1794","0.2456","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","1/1/2026","1/31/2026","8/7/2026 3:15:35 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"FTMYR","521","133","459","402","3340054","99","2349565","133","3","1","28","95","6","0","55472","12135","780787","2281958","209702","0.0000","0","6","28","0","0.0000","209702","780787","0.0000","5118.8779","0.2156","0.2552","0.3308","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","1/1/2026","1/31/2026","8/7/2026 3:15:35 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"LAKE","70","20","63","59","388565","15","280614","20","0","0","2","15","3","0","0.0000","0.0000","31106","280614","76845","0.0000","0","3","2","0","0.0000","76845","31106","0.0000","4454.1904","0.238","0.2857","0.3389","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","1/1/2026","1/31/2026","8/7/2026 3:15:35 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"MIAMI","60","4","56","36","117200","2","60177","4","0","0","1","2","1","0","0.0000","0.0000","22829","60177","34194","0.0000","0","1","1","0","0.0000","34194","22829","0.0000","1074.5892","0.0357","0.0666","0.1111","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","1/1/2026","1/31/2026","8/7/2026 3:15:35 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"ORL","410","95","344","296","1858944","70","1381590","95","1","0","18","69","7","0","7000","0.0000","354167","1374590","123187","0.0000","0","7","18","0","0.0000","123187","354167","0.0000","4016.25","0.2034","0.2317","0.3209","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","1/1/2026","1/31/2026","8/7/2026 3:15:35 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"RFED","7","1","6","4","5490","1","5490","1","0","0","0","1","0","0","0.0000","0.0000","0.0000","5490","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0.0000","0.0000","915","0.1666","0.1428","0.25","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","1/1/2026","1/31/2026","8/7/2026 3:15:35 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"SAR","207","66","187","171","1853344","51","1480443","64","1","0","11","50","2","0","19000","0.0000","354084","1461443","18817","0.0000","0","2","11","0","0.0000","18817","354084","0.0000","7916.8074","0.2727","0.3188","0.3859","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","1/1/2026","1/31/2026","8/7/2026 3:15:35 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
"STPET","564","133","502","452","3268858","106","2633196","132","1","0","19","105","7","0","22400","0.0000","493192","2610796","142470","0.0000","0","7","19","0","0.0000","142470","493192","0.0000","5245.4103","0.2111","0.2358","0.2942","Await Rep","Credit Decline","Cancelled","","PIF NO Survey","","","","","Dana Whitfield","1/1/2026","1/31/2026","8/7/2026 3:15:35 PM","True","ALL","","--ALL--","By Market","By STD","ALL"
