"Salesrep","Src_id","NumSet","NumSale","NumIssued","NumNetIssued","NumSat","GSA","NSA","NumOpps","Num1Leg","NumNoHome","NumNOPs","NumNIS","NumNOCOPPRRF","NumCCC","NumIssCTR","NumDsp1","NumDsp2","NumDsp3","NumDsp4","NumDsp5","NumDsp6","NumDsp7","NumDsp8","NumDsp9","NumDsp10","NumOther","NumOther2","Dsp1","Dsp2","Dsp3","Dsp4","Dsp5","Dsp6","Dsp7","Dsp8","Dsp9","Dsp10","FullName","SDate","EDate","Footer","CurrentDateTime","UseColor"
"(SalesRep Unknown)","PrevCust","2","0","0","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","Sale","1leg","NoHome","CCC","Reset","NIS","OPPFDN","NoRehash","No Demo","NOC","Dana Whitfield","1/1/2026","1/31/2026","1Leg=1 Leg Wife or Husband Missing;    NoHome=No-Show;    CCC=Cancel Post Issue;    Reset=Rep Reset;    NIS=Not Assigned;    OPPFDN=Full Demo No Sale;    NoRehash=No Rehash;    No Demo=No Demo;    NOC=Not covered;","8/7/2026 3:15:49 PM","True"
"(SalesRep Unknown)","Website","6","0","0","0","0","0.0000","0.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","Sale","1leg","NoHome","CCC","Reset","NIS","OPPFDN","NoRehash","No Demo","NOC","Dana Whitfield","1/1/2026","1/31/2026","1Leg=1 Leg Wife or Husband Missing;    NoHome=No-Show;    CCC=Cancel Post Issue;    Reset=Rep Reset;    NIS=Not Assigned;    OPPFDN=Full Demo No Sale;    NoRehash=No Rehash;    No Demo=No Demo;    NOC=Not covered;","8/7/2026 3:15:49 PM","True"
"Alexander, Clifford","Internet","10","1","7","7","7","44137","0.0000","6","0","0","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0","3","3","Sale","1leg","NoHome","CCC","Reset","NIS","OPPFDN","NoRehash","No Demo","NOC","Dana Whitfield","1/1/2026","1/31/2026","1Leg=1 Leg Wife or Husband Missing;    NoHome=No-Show;    CCC=Cancel Post Issue;    Reset=Rep Reset;    NIS=Not Assigned;    OPPFDN=Full Demo No Sale;    NoRehash=No Rehash;    No Demo=No Demo;    NOC=Not covered;","8/7/2026 3:15:49 PM","True"
"Alexander, Clifford","Magazine","1","0","1","1","1","0.0000","0.0000","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","Sale","1leg","NoHome","CCC","Reset","NIS","OPPFDN","NoRehash","No Demo","NOC","Dana Whitfield","1/1/2026","1/31/2026","1Leg=1 Leg Wife or Husband Missing;    NoHome=No-Show;    CCC=Cancel Post Issue;    Reset=Rep Reset;    NIS=Not Assigned;    OPPFDN=Full Demo No Sale;    NoRehash=No Rehash;    No Demo=No Demo;    NOC=Not covered;","8/7/2026 3:15:49 PM","True"
"Aljarboua, Lamyaa","Canvass","1","1","1","1","1","9835","0.0000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Sale","1leg","NoHome","CCC","Reset","NIS","OPPFDN","NoRehash","No Demo","NOC","Dana Whitfield","1/1/2026","1/31/2026","1Leg=1 Leg Wife or Husband Missing;    NoHome=No-Show;    CCC=Cancel Post Issue;    Reset=Rep Reset;    NIS=Not Assigned;    OPPFDN=Full Demo No Sale;    NoRehash=No Rehash;    No Demo=No Demo;    NOC=Not covered;","8/7/2026 3:15:49 PM","True"
"Aljarboua, Lamyaa","Internet","33","3","27","26","17","68930","68930","13","0","1","0","0","1","0","0","3","0","1","0","0","0","13","0","9","1","6","15","Sale","1leg","NoHome","CCC","Reset","NIS","OPPFDN","NoRehash","No Demo","NOC","Dana Whitfield","1/1/2026","1/31/2026","1Leg=1 Leg Wife or Husband Missing;    NoHome=No-Show;    CCC=Cancel Post Issue;    Reset=Rep Reset;    NIS=Not Assigned;    OPPFDN=Full Demo No Sale;    NoRehash=No Rehash;    No Demo=No Demo;    NOC=Not covered;","8/7/2026 3:15:49 PM","True"
"Aljarboua, Lamyaa","Website","1","1","1","1","1","25488","0.0000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Sale","1leg","NoHome","CCC","Reset","NIS","OPPFDN","NoRehash","No Demo","NOC","Dana Whitfield","1/1/2026","1/31/2026","1Leg=1 Leg Wife or Husband Missing;    NoHome=No-Show;    CCC=Cancel Post Issue;    Reset=Rep Reset;    NIS=Not Assigned;    OPPFDN=Full Demo No Sale;    NoRehash=No Rehash;    No Demo=No Demo;    NOC=Not covered;","8/7/2026 3:15:49 PM","True"
"Alvarez, Maitia","Affiliates","2","0","1","1","1","0.0000","0.0000","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","Sale","1leg","NoHome","CCC","Reset","NIS","OPPFDN","NoRehash","No Demo","NOC","Dana Whitfield","1/1/2026","1/31/2026","1Leg=1 Leg Wife or Husband Missing;    NoHome=No-Show;    CCC=Cancel Post Issue;    Reset=Rep Reset;    NIS=Not Assigned;    OPPFDN=Full Demo No Sale;    NoRehash=No Rehash;    No Demo=No Demo;    NOC=Not covered;","8/7/2026 3:15:49 PM","True"
"Alvarez, Maitia","Canvass","1","0","1","0","0","0.0000","0.0000","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","Sale","1leg","NoHome","CCC","Reset","NIS","OPPFDN","NoRehash","No Demo","NOC","Dana Whitfield","1/1/2026","1/31/2026","1Leg=1 Leg Wife or Husband Missing;    NoHome=No-Show;    CCC=Cancel Post Issue;    Reset=Rep Reset;    NIS=Not Assigned;    OPPFDN=Full Demo No Sale;    NoRehash=No Rehash;    No Demo=No Demo;    NOC=Not covered;","8/7/2026 3:15:49 PM","True"
"Alvarez, Maitia","Internet","11","0","7","6","6","0.0000","0.0000","6","1","0","0","0","0","0","0","0","1","0","0","0","0","6","0","0","0","4","4","Sale","1leg","NoHome","CCC","Reset","NIS","OPPFDN","NoRehash","No Demo","NOC","Dana Whitfield","1/1/2026","1/31/2026","1Leg=1 Leg Wife or Husband Missing;    NoHome=No-Show;    CCC=Cancel Post Issue;    Reset=Rep Reset;    NIS=Not Assigned;    OPPFDN=Full Demo No Sale;    NoRehash=No Rehash;    No Demo=No Demo;    NOC=Not covered;","8/7/2026 3:15:49 PM","True"
